plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	3	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	3	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA3_ChannelA594_30p_Seq0008.nd2	A3	4	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	4	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	4	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	4	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA3_ChannelA594_30p_Seq0008.nd2	A3	5	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	5	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	5	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	5	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA3_ChannelA594_30p_Seq0008.nd2	A3	6	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	6	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	6	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	6	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA3_ChannelA594_30p_Seq0008.nd2	A3	7	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	7	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	7	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	7	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA3_ChannelA594_30p_Seq0008.nd2	A3	8	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	8	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	8	CY5_30p
